no,SrNo,PDF_name,Type,composition_final,Element,Fractions,Fracs,Fraction,Frac,Temperature_in_plot,Pressure_plot,Pressure unit,unit,Temperature(oC)_graph,Temperature,Temperature_1,Ln(P)_Mpa,Pressure_bar,AN,Period,AR,CR,VWR,EN,Density,EA,MP,BP,VEC,FIE,TC,BM,HF,MV,Mass,SH,M-M_Eng,M-M_Bond,M-H_Bond,M-H_Eng,formation_H,en_at_H,formation_M,en_at_M,vol_H,vol_M,vol_diff,Relative_Vol,RC_Vol,EN.Diff,M-H.EN.Diff,Atomic.Size.Diff,dSmix,Composition,Top_Intensity_1,Top_Intensity_2,Top_Intensity_3,Top_Intensity_4,Top_Intensity_5,Top_Intensity_6,Top_Intensity_7,Top_Intensity_8,Top_Intensity_9,Top_Intensity_10,Corresponding_Angle_1,Corresponding_Angle_2,Corresponding_Angle_3,Corresponding_Angle_4,Corresponding_Angle_5,Corresponding_Angle_6,Corresponding_Angle_7,Corresponding_Angle_8,Corresponding_Angle_9,Corresponding_Angle_10
200,365,223,PCT,Mg0.85Ni0.08Sm0.08,Sm Mg    Ni,1 11 1,1 11 1,0.08 0.85 0.08,0.08 0.85 0.08,1.6872,-1.27670995670996,Ln(Peq)(MPa),1000/T,319.697961119014,593,593,-3.5793,0.278952180751656,17.2277227722772,3.31683168316832,1.58891089108911,118.990099009901,220.158415841584,1.34643564356436,2.75227722772277,0.131485148514852,1019.34653465347,1563.12871287129,2.71287128712871,7.49,142.891089108911,55.1386138613861,9.35742574257426,13.9071287128713,37.0173267326733,909.188118811881,-1.78940594059406,3.31316831683168,1.77079207920792,-3.16742574257426,-0.309009900990099,-3.32366336633663,0.008415841584158,-2.16980198019802,71.4187128712871,46.6067326732673,0.270594059405941,0.002584096140647,20.351973391176,0.1703,-0.8621,7.21,4.5086,SmMg 11 Ni,1.01110555277639,0.978289144572286,0.749774887443724,0.554477238619311,0.522561280640323,0.522461230615309,0.383991995998001,0.318859429714859,0.315757878939472,0.313756878439221,95.2606303151573,92.0330165082539,57.3626813406702,65.2276138069033,50.4422211105552,70.6153076538267,50.1670835417708,72.8464232116056,48.2121060530264,61.6738369184591
219,395,7,PCT,Ce0.0027Mg0.9335Ni0.0301Y0.0043Zr0.0307,Mg    Ce    Y    Ni    Zr,90   90    1.5   1.5    710  ,81 1.35 1.35 6.3 10,0.9335 0.0027 0.0043 0.0301 0.0307,0.9335 0.0027 0.0043 0.0301 0.0307,1.57900379506641,1.31612903225806,Ln(P) (MPa),1000/T,360.310700787734,633,633,-0.9865,3.72879488005405,13.579446719265,3.10805952262059,1.59095775491861,130.068211325277,219.866773194847,1.32775092379906,2.12685708578848,0.050734045740537,987.295915310097,1545.96594427245,2.30879856186957,7.60659542594627,152.709477679017,50.4967042844302,9.33560371517028,13.8029012284031,27.9846649355837,974.631878557875,-0.467227604114651,3.38578148407071,1.76369419754319,-2.39421452112254,-0.299706381703785,-3.23513732148207,0.009322880255668,-1.96196644362329,57.3881833616299,43.8817607110756,0.213213822031359,0.002066020956157,11.9743026212718,0.1034,-0.873383,3.87,2.6276,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%Zr,1.00022508581397,0.457993359968488,0.411062967756457,0.344550109729334,0.277474537167295,0.170052332451747,0.16774520285859,0.167632659951607,0.164481458556074,0.155196668729953,76.6588824489337,54.0000562714535,52.7176298463789,47.5907377187553,32.9280850824377,56.5514039727646,33.4547858871194,53.5476337853807,26.1473749366946,48.8073265432446
220,396,7,PCT,Ce0.0027Mg0.9335Ni0.0301Y0.0043Zr0.0307,Mg    Ce    Y    Ni    Zr,90   90    1.5   1.5    710  ,81 1.35 1.35 6.3 10,0.9335 0.0027 0.0043 0.0301 0.0307,0.9335 0.0027 0.0043 0.0301 0.0307,1.62440227703985,0.825806451612903,Ln(P) (MPa),1000/T,342.611055299861,613,613,-1.4768,2.28367295735806,13.579446719265,3.10805952262059,1.59095775491861,130.068211325277,219.866773194847,1.32775092379906,2.12685708578848,0.050734045740537,987.295915310097,1545.96594427245,2.30879856186957,7.60659542594627,152.709477679017,50.4967042844302,9.33560371517028,13.8029012284031,27.9846649355837,974.631878557875,-0.467227604114651,3.38578148407071,1.76369419754319,-2.39421452112254,-0.299706381703785,-3.23513732148207,0.009322880255668,-1.96196644362329,57.3881833616299,43.8817607110756,0.213213822031359,0.002123037768259,12.3047622715342,0.1034,-0.873383,3.87,2.6276,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%Zr,1.00022508581397,0.457993359968488,0.411062967756457,0.344550109729334,0.277474537167295,0.170052332451747,0.16774520285859,0.167632659951607,0.164481458556074,0.155196668729953,76.6588824489337,54.0000562714535,52.7176298463789,47.5907377187553,32.9280850824377,56.5514039727646,33.4547858871194,53.5476337853807,26.1473749366946,48.8073265432446
221,397,7,PCT,Ce0.0027Mg0.9335Ni0.0301Y0.0043Zr0.0307,Mg    Ce    Y    Ni    Zr,90   90    1.5   1.5    710  ,81 1.35 1.35 6.3 10,0.9335 0.0027 0.0043 0.0301 0.0307,0.9335 0.0027 0.0043 0.0301 0.0307,1.67176470588235,0.290322580645161,Ln(P) (MPa),1000/T,325.170302603801,593,593,-2.0123,1.33680854845561,13.579446719265,3.10805952262059,1.59095775491861,130.068211325277,219.866773194847,1.32775092379906,2.12685708578848,0.050734045740537,987.295915310097,1545.96594427245,2.30879856186957,7.60659542594627,152.709477679017,50.4967042844302,9.33560371517028,13.8029012284031,27.9846649355837,974.631878557875,-0.467227604114651,3.38578148407071,1.76369419754319,-2.39421452112254,-0.299706381703785,-3.23513732148207,0.009322880255668,-1.96196644362329,57.3881833616299,43.8817607110756,0.213213822031359,0.00218694191513,12.6751397312125,0.1034,-0.873383,3.87,2.6276,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%Zr,1.00022508581397,0.457993359968488,0.411062967756457,0.344550109729334,0.277474537167295,0.170052332451747,0.16774520285859,0.167632659951607,0.164481458556074,0.155196668729953,76.6588824489337,54.0000562714535,52.7176298463789,47.5907377187553,32.9280850824377,56.5514039727646,33.4547858871194,53.5476337853807,26.1473749366946,48.8073265432446
222,398,7,PCT,Ce0.0026Mg0.9081Ni0.0292Ti0.0569Y0.0041,Mg    Ce    Y    Ni    Ti,90   90    1.5   1.5    710  ,81 1.35 1.35 6.3 10,0.9081 0.0026 0.0041 0.0292 0.0569,0.9081 0.0026 0.0041 0.0292 0.0569,1.58272727272727,1.05333333333334,Ln(P) (MPa),1000/T,358.820792647905,633,633,-1.2493,2.86705420428049,13.2653611749426,3.10200819262664,1.58324707763013,129.871915276251,219.286941752423,1.33971725447098,2.13068838045759,0.040958137676092,1007.00669397542,1566.54221200919,2.35378159656309,7.59175342192027,149.169047856929,52.5574982515736,9.51921270856229,13.615667898891,27.2178089719253,969.692276950745,-0.652394844639824,3.33534219202718,1.7589649315616,-2.45930862223998,-0.297164551903287,-3.32117194524928,0.009072834448996,-2.10160855230293,59.5367169547407,43.2645618942951,0.260568488360476,0.002177386339836,13.6265230992955,0.1131,-0.861057,4.36,3.2579,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%Ti,1.00000000000001,0.598765432098773,0.41975308641976,0.351851851851861,0.345679012345686,0.222222222222231,0.222222222222229,0.216049382716057,0.191358024691363,0.179012345679017,36.5841584158431,34.4059405940604,34.9009900990106,19.8514851485155,32.2277227722779,24.4059405940599,40.2475247524757,30.0495049504955,45.0990099009905,47.9702970297034
223,399,7,PCT,Ce0.0026Mg0.9081Ni0.0292Ti0.0569Y0.0041,Mg    Ce    Y    Ni    Ti,90   90    1.5   1.5    710  ,81 1.35 1.35 6.3 10,0.9081 0.0026 0.0041 0.0292 0.0569,0.9081 0.0026 0.0041 0.0292 0.0569,1.62772727272727,0.540000000000001,Ln(P) (MPa),1000/T,341.353532532813,613,613,-1.7626,1.71598128185101,13.2653611749426,3.10200819262664,1.58324707763013,129.871915276251,219.286941752423,1.33971725447098,2.13068838045759,0.040958137676092,1007.00669397542,1566.54221200919,2.35378159656309,7.59175342192027,149.169047856929,52.5574982515736,9.51921270856229,13.615667898891,27.2178089719253,969.692276950745,-0.652394844639824,3.33534219202718,1.7589649315616,-2.45930862223998,-0.297164551903287,-3.32117194524928,0.009072834448996,-2.10160855230293,59.5367169547407,43.2645618942951,0.260568488360476,0.002241218512665,14.0259977178416,0.1131,-0.861057,4.36,3.2579,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%Ti,1.00000000000001,0.598765432098773,0.41975308641976,0.351851851851861,0.345679012345686,0.222222222222231,0.222222222222229,0.216049382716057,0.191358024691363,0.179012345679017,36.5841584158431,34.4059405940604,34.9009900990106,19.8514851485155,32.2277227722779,24.4059405940599,40.2475247524757,30.0495049504955,45.0990099009905,47.9702970297034
224,400,7,PCT,Ce0.0026Mg0.9081Ni0.0292Ti0.0569Y0.0041,Mg    Ce    Y    Ni    Ti,90   90    1.5   1.5    710  ,81 1.35 1.35 6.3 10,0.9081 0.0026 0.0041 0.0292 0.0569,0.9081 0.0026 0.0041 0.0292 0.0569,1.67545454545455,-0.02,Ln(P) (MPa),1000/T,323.852957135104,593,593,-2.3226,0.980184061588205,13.2653611749426,3.10200819262664,1.58324707763013,129.871915276251,219.286941752423,1.33971725447098,2.13068838045759,0.040958137676092,1007.00669397542,1566.54221200919,2.35378159656309,7.59175342192027,149.169047856929,52.5574982515736,9.51921270856229,13.615667898891,27.2178089719253,969.692276950745,-0.652394844639824,3.33534219202718,1.7589649315616,-2.45930862223998,-0.297164551903287,-3.32117194524928,0.009072834448996,-2.10160855230293,59.5367169547407,43.2645618942951,0.260568488360476,0.002305038805321,14.4253979878639,0.1131,-0.861057,4.36,3.2579,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%Ti,1.00000000000001,0.598765432098773,0.41975308641976,0.351851851851861,0.345679012345686,0.222222222222231,0.222222222222229,0.216049382716057,0.191358024691363,0.179012345679017,36.5841584158431,34.4059405940604,34.9009900990106,19.8514851485155,32.2277227722779,24.4059405940599,40.2475247524757,30.0495049504955,45.0990099009905,47.9702970297034
225,401,7,PCT,Ce0.0026Mg0.9106Ni0.0293V0.0536Y0.0041,Mg    Ce    Y    Ni    V,90   90    1.5   1.5    710 ,81 1.35 1.35 6.3 10,0.9106 0.0026 0.0041 0.0293 0.0536,0.9106 0.0026 0.0041 0.0293 0.0536,1.58683284457478,1.29032258064516,Ln(P) (MPa),1000/T,357.186098944762,633,633,-1.0123,3.63382238539559,13.2884423115377,3.09888022395521,1.57615976804639,129.261647670466,218.765046990602,1.34386222755449,2.20828234353129,0.06495400919816,1016.02269546091,1564.46570685863,2.40181963607279,7.5901299740052,150.092181563687,55.0412917416517,9.70735852829434,13.503576284743,27.3100679864027,969.587982403519,-0.765290941811638,3.3278974205159,1.7580523895221,-2.55810537892421,-0.289658068386323,-3.28587482503499,0.009104179164167,-2.14537092581484,56.2035302939412,42.1478394321136,0.244539092181564,0.00211664355871,13.0957368068192,0.1225,-0.856309,5.48,3.1892,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%V,0.987577639751553,0.484472049689441,0.416149068322981,0.304347826086957,0.285714285714286,0.254658385093168,0.180124223602485,0.15527950310559,0.15527950310559,0.130434782608696,36.4265923760824,34.2450675922551,34.7319145049331,32.1774144440391,19.9215990744129,42.0769394714413,44.7203446596034,40.3073620752653,47.8563816831084,24.3257520399468
226,402,7,PCT,Ce0.0026Mg0.9106Ni0.0293V0.0536Y0.0041,Mg    Ce    Y    Ni    V,90   90    1.5   1.5    710 ,81 1.35 1.35 6.3 10,0.9106 0.0026 0.0041 0.0293 0.0536,0.9106 0.0026 0.0041 0.0293 0.0536,1.63073313782991,0.806451612903227,Ln(P) (MPa),1000/T,340.221119263416,613,613,-1.4961,2.24002066886005,13.2884423115377,3.09888022395521,1.57615976804639,129.261647670466,218.765046990602,1.34386222755449,2.20828234353129,0.06495400919816,1016.02269546091,1564.46570685863,2.40181963607279,7.5901299740052,150.092181563687,55.0412917416517,9.70735852829434,13.503576284743,27.3100679864027,969.587982403519,-0.765290941811638,3.3278974205159,1.7580523895221,-2.55810537892421,-0.289658068386323,-3.28587482503499,0.009104179164167,-2.14537092581484,56.2035302939412,42.1478394321136,0.244539092181564,0.002175343298511,13.4589138471388,0.1225,-0.856309,5.48,3.1892,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%V,0.987577639751553,0.484472049689441,0.416149068322981,0.304347826086957,0.285714285714286,0.254658385093168,0.180124223602485,0.15527950310559,0.15527950310559,0.130434782608696,36.4265923760824,34.2450675922551,34.7319145049331,32.1774144440391,19.9215990744129,42.0769394714413,44.7203446596034,40.3073620752653,47.8563816831084,24.3257520399468
227,403,7,PCT,Ce0.0026Mg0.9106Ni0.0293V0.0536Y0.0041,Mg    Ce    Y    Ni    V,90   90    1.5   1.5    710 ,81 1.35 1.35 6.3 10,0.9106 0.0026 0.0041 0.0293 0.0536,0.9106 0.0026 0.0041 0.0293 0.0536,1.67673020527859,0.245161290322581,Ln(P) (MPa),1000/T,323.398870165191,593,593,-2.0574,1.27785781384564,13.2884423115377,3.09888022395521,1.57615976804639,129.261647670466,218.765046990602,1.34386222755449,2.20828234353129,0.06495400919816,1016.02269546091,1564.46570685863,2.40181963607279,7.5901299740052,150.092181563687,55.0412917416517,9.70735852829434,13.503576284743,27.3100679864027,969.587982403519,-0.765290941811638,3.3278974205159,1.7580523895221,-2.55810537892421,-0.289658068386323,-3.28587482503499,0.009104179164167,-2.14537092581484,56.2035302939412,42.1478394321136,0.244539092181564,0.002237391681187,13.8428090407653,0.1225,-0.856309,5.48,3.1892,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%V,0.987577639751553,0.484472049689441,0.416149068322981,0.304347826086957,0.285714285714286,0.254658385093168,0.180124223602485,0.15527950310559,0.15527950310559,0.130434782608696,36.4265923760824,34.2450675922551,34.7319145049331,32.1774144440391,19.9215990744129,42.0769394714413,44.7203446596034,40.3073620752653,47.8563816831084,24.3257520399468
