no,SrNo,PDF_name,Type,Compostion,Class,composition_final,Element,Fraction,Frac,Temperature_in_plot,Pressure_plot,Pressure unit,unit,Temperature(oC)_graph,Temperature,Temperature_1,Ln(P)_Mpa,Ln(P)_bar,Pressure(MPa),AN,Period,AR,CR,VWR,EN,Density,EA,MP,BP,VEC,FIE,TC,BM,HF,MV,Mass,SH,M-M_Eng,M-M_Bond,M-H_Bond,M-H_Eng,formation_H,en_at_H,formation_M,en_at_M,vol_H,vol_M,vol_diff,EN.Diff,M-H.EN.Diff,Atomic.Size.Diff,dSmix
153,296,58,PCT,La0.5Nd0.5MgNi3Co,Mg+TM+Ln+,Co0.17La0.08Mg0.17Nd0.08Ni0.5,La  Nd  Mg Ni Co,0.08 0.08 0.17 0.5 0.17,0.08 0.08 0.17 0.5 0.17,3.09162011173184,0.066860555362902,P(bar),1000/T,50.455005421034,323,323,-5.01,0.01,0.07,29.99,4.15,1.3911,117.54,211,1.6765,7.3166,0.7698,1519.1,2838.13,7.35,7.3489,92.1,133.05,13.905,10.2514,66.1478,498.27,-4.4478,2.3903,1.6171,-4.7083,-0.2328,-4.7058,0.0017,-5.1458,30.8852,39.8498,-0.1691,0.3268,-0.5235,15.23,11.2508
219,395,7,PCT,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%Zr,Mg+TM+Ln+,Ce0.0027Mg0.9335Ni0.0301Y0.0043Zr0.0307,Mg    Ce    Y    Ni    Zr,0.9335 0.0027 0.0043 0.0301 0.0307,0.9335 0.0027 0.0043 0.0301 0.0307,1.579,1.3161,Ln(P) (MPa),1000/T,360.31,633,633,-0.99,0.372879488005405,3.73,13.5794,3.1081,1.591,130.0682,219.8668,1.3278,2.1269,0.0507,987.2959,1545.9659,2.3088,7.6066,152.7095,50.4967,9.3356,13.8029,27.9847,974.6319,-0.4672,3.3858,1.7637,-2.3942,-0.2997,-3.2351,0.0093,-1.962,57.3882,43.8818,0.2132,0.1034,-0.8734,3.87,2.6276
220,396,7,PCT,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%Zr,Mg+TM+Ln+,Ce0.0027Mg0.9335Ni0.0301Y0.0043Zr0.0307,Mg    Ce    Y    Ni    Zr,0.9335 0.0027 0.0043 0.0301 0.0307,0.9335 0.0027 0.0043 0.0301 0.0307,1.6244,0.8258,Ln(P) (MPa),1000/T,342.61,613,613,-1.48,0.228367295735806,2.28,13.5794,3.1081,1.591,130.0682,219.8668,1.3278,2.1269,0.0507,987.2959,1545.9659,2.3088,7.6066,152.7095,50.4967,9.3356,13.8029,27.9847,974.6319,-0.4672,3.3858,1.7637,-2.3942,-0.2997,-3.2351,0.0093,-1.962,57.3882,43.8818,0.2132,0.1034,-0.8734,3.87,2.6276
221,397,7,PCT,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%Zr,Mg+TM+Ln+,Ce0.0027Mg0.9335Ni0.0301Y0.0043Zr0.0307,Mg    Ce    Y    Ni    Zr,0.9335 0.0027 0.0043 0.0301 0.0307,0.9335 0.0027 0.0043 0.0301 0.0307,1.6718,0.2903,Ln(P) (MPa),1000/T,325.17,593,593,-2.01,0.133680854845561,1.34,13.5794,3.1081,1.591,130.0682,219.8668,1.3278,2.1269,0.0507,987.2959,1545.9659,2.3088,7.6066,152.7095,50.4967,9.3356,13.8029,27.9847,974.6319,-0.4672,3.3858,1.7637,-2.3942,-0.2997,-3.2351,0.0093,-1.962,57.3882,43.8818,0.2132,0.1034,-0.8734,3.87,2.6276
222,398,7,PCT,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%Ti,Mg+TM+Ln+,Ce0.0026Mg0.9081Ni0.0292Ti0.0569Y0.0041,Mg    Ce    Y    Ni    Ti,0.9081 0.0026 0.0041 0.0292 0.0569,0.9081 0.0026 0.0041 0.0292 0.0569,1.5827,1.0533,Ln(P) (MPa),1000/T,358.82,633,633,-1.25,0.286705420428049,2.87,13.2654,3.102,1.5832,129.8719,219.2869,1.3397,2.1307,0.041,1007.0067,1566.5422,2.3538,7.5918,149.169,52.5575,9.5192,13.6157,27.2178,969.6923,-0.6524,3.3353,1.759,-2.4593,-0.2972,-3.3212,0.0091,-2.1016,59.5367,43.2646,0.2606,0.1131,-0.8611,4.36,3.2579
223,399,7,PCT,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%Ti,Mg+TM+Ln+,Ce0.0026Mg0.9081Ni0.0292Ti0.0569Y0.0041,Mg    Ce    Y    Ni    Ti,0.9081 0.0026 0.0041 0.0292 0.0569,0.9081 0.0026 0.0041 0.0292 0.0569,1.6277,0.54,Ln(P) (MPa),1000/T,341.35,613,613,-1.76,0.171598128185101,1.72,13.2654,3.102,1.5832,129.8719,219.2869,1.3397,2.1307,0.041,1007.0067,1566.5422,2.3538,7.5918,149.169,52.5575,9.5192,13.6157,27.2178,969.6923,-0.6524,3.3353,1.759,-2.4593,-0.2972,-3.3212,0.0091,-2.1016,59.5367,43.2646,0.2606,0.1131,-0.8611,4.36,3.2579
224,400,7,PCT,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%Ti,Mg+TM+Ln+,Ce0.0026Mg0.9081Ni0.0292Ti0.0569Y0.0041,Mg    Ce    Y    Ni    Ti,0.9081 0.0026 0.0041 0.0292 0.0569,0.9081 0.0026 0.0041 0.0292 0.0569,1.6755,-0.02,Ln(P) (MPa),1000/T,323.85,593,593,-2.32,0.098018406158821,0.98,13.2654,3.102,1.5832,129.8719,219.2869,1.3397,2.1307,0.041,1007.0067,1566.5422,2.3538,7.5918,149.169,52.5575,9.5192,13.6157,27.2178,969.6923,-0.6524,3.3353,1.759,-2.4593,-0.2972,-3.3212,0.0091,-2.1016,59.5367,43.2646,0.2606,0.1131,-0.8611,4.36,3.2579
225,401,7,PCT,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%V,Mg+TM+Ln+,Ce0.0026Mg0.9106Ni0.0293V0.0536Y0.0041,Mg    Ce    Y    Ni    V,0.9106 0.0026 0.0041 0.0293 0.0536,0.9106 0.0026 0.0041 0.0293 0.0536,1.5842,1.2449,Ln(P) (MPa),1000/T,631.23,633,633,-1.01,0.363382238539559,3.5,13.2884,3.0989,1.5762,129.2616,218.765,1.3439,2.2083,0.065,1016.0227,1564.4657,2.4018,7.5901,150.0922,55.0413,9.7074,13.5036,27.3101,969.588,-0.7653,3.3279,1.7581,-2.5581,-0.2897,-3.2859,0.0091,-2.1454,56.2035,42.1478,0.2445,0.1225,-0.8563,5.48,3.1892
226,402,7,PCT,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%V,Mg+TM+Ln+,Ce0.0026Mg0.9106Ni0.0293V0.0536Y0.0041,Mg    Ce    Y    Ni    V,0.9106 0.0026 0.0041 0.0293 0.0536,0.9106 0.0026 0.0041 0.0293 0.0536,1.6277,0.802,Ln(P) (MPa),1000/T,614.36,613,613,-1.5,0.224002066886005,2.23,13.2884,3.0989,1.5762,129.2616,218.765,1.3439,2.2083,0.065,1016.0227,1564.4657,2.4018,7.5901,150.0922,55.0413,9.7074,13.5036,27.3101,969.588,-0.7653,3.3279,1.7581,-2.5581,-0.2897,-3.2859,0.0091,-2.1454,56.2035,42.1478,0.2445,0.1225,-0.8563,5.48,3.1892
227,403,7,PCT,90%(Mg 90 Ce 1.5 Y 1.5 Ni 7)-10%V,Mg+TM+Ln+,Ce0.0026Mg0.9106Ni0.0293V0.0536Y0.0041,Mg    Ce    Y    Ni    V,0.9106 0.0026 0.0041 0.0293 0.0536,0.9106 0.0026 0.0041 0.0293 0.0536,1.6753,0.2673,Ln(P) (MPa),1000/T,596.93,593,593,-2.06,0.127785781384564,1.31,13.2884,3.0989,1.5762,129.2616,218.765,1.3439,2.2083,0.065,1016.0227,1564.4657,2.4018,7.5901,150.0922,55.0413,9.7074,13.5036,27.3101,969.588,-0.7653,3.3279,1.7581,-2.5581,-0.2897,-3.2859,0.0091,-2.1454,56.2035,42.1478,0.2445,0.1225,-0.8563,5.48,3.1892
