no,SrNo,PDF_name,Type,Compostion,Class,composition_final,Element,Fraction,Frac,Temperature_in_plot,Pressure_plot,Pressure unit,unit,Temperature(oC)_graph,Temperature,Temperature_1,Ln(P)_Mpa,Ln(P)_bar,Pressure(MPa),AN,Period,AR,CR,VWR,EN,Density,EA,MP,BP,VEC,FIE,TC,BM,HF,MV,Mass,SH,M-M_Eng,M-M_Bond,M-H_Bond,M-H_Eng,formation_H,en_at_H,formation_M,en_at_M,vol_H,vol_M,vol_diff,EN.Diff,M-H.EN.Diff,Atomic.Size.Diff,dSmix
250,434,111,PCI,LaNi4.5Al0.5,TM+Ln,Al0.08La0.17Ni0.75,La Ni  Al  ,0.17 0.75 0.08,0.17 0.75 0.08,2.9986,0.5437,P(bar),1000/T,60.49,333,333,-2.9119,-0.6093,0.05,31.73,4.26,1.3715,128.92,209.3,1.7483,7.944,0.9843,1571.65,3108.24,8.25,7.1578,89.26,145.84,14.827,9.5837,69.7906,439.22,-4.0516,2.2471,1.583,-4.6982,-0.2262,-4.6118,0,-5.4748,35.1693,34.7344,-0.2,0.3043,-0.4517,17.15,5.9786
251,440,111,PCI,LaNi4.5Al0.5,TM+Ln,Al0.08La0.17Ni0.75,La Ni  Al  ,0.17 0.75 0.08,0.17 0.75 0.08,3.1893,0.1873,P(bar),1000/T,40.55,314,314,-3.9778,-1.6752,0.02,31.73,4.26,1.3715,128.92,209.3,1.7483,7.944,0.9843,1571.65,3108.24,8.25,7.1578,89.26,145.84,14.827,9.5837,69.7906,439.22,-4.0516,2.2471,1.583,-4.6982,-0.2262,-4.6118,0,-5.4748,35.1693,34.7344,-0.2,0.3043,-0.4517,17.15,5.9786
252,418,111,PCI,LaNi4.4Al0.6,TM+Ln,Al0.1La0.17Ni0.73,La Ni  Al  ,0.17 0.73 0.1,0.17 0.73 0.1,2.5402,3.942,P(bar),1000/T,120.67,394,394,-0.9309,1.3717,0.39,31.43,4.24,1.3751,128.86,209.5,1.7423,7.8198,0.9697,1555.8,3102.94,8.11,7.1248,92.14,143.76,14.697,9.6517,69.1564,448.4,-4.0028,2.2655,1.5874,-4.6912,-0.2264,-4.5898,0,-5.4342,39.4597,34.854,-0.1846,0.304,-0.4577,17.06,6.3292
253,424,111,PCI,LaNi4.4Al0.6,TM+Ln,Al0.1La0.17Ni0.73,La Ni  Al  ,0.17 0.73 0.1,0.17 0.73 0.1,2.6764,1.8625,P(bar),1000/T,100.64,374,374,-1.6807,0.6219,0.19,31.43,4.24,1.3751,128.86,209.5,1.7423,7.8198,0.9697,1555.8,3102.94,8.11,7.1248,92.14,143.76,14.697,9.6517,69.1564,448.4,-4.0028,2.2655,1.5874,-4.6912,-0.2264,-4.5898,0,-5.4342,39.4597,34.854,-0.1846,0.304,-0.4577,17.06,6.3292
254,430,111,PCI,LaNi4.4Al0.6,TM+Ln,Al0.1La0.17Ni0.73,La Ni  Al  ,0.17 0.73 0.1,0.17 0.73 0.1,2.8254,0.9525,P(bar),1000/T,80.93,354,354,-2.3512,-0.0486,0.1,31.43,4.24,1.3751,128.86,209.5,1.7423,7.8198,0.9697,1555.8,3102.94,8.11,7.1248,92.14,143.76,14.697,9.6517,69.1564,448.4,-4.0028,2.2655,1.5874,-4.6912,-0.2264,-4.5898,0,-5.4342,39.4597,34.854,-0.1846,0.304,-0.4577,17.06,6.3292
255,436,111,PCI,LaNi4.4Al0.6,TM+Ln,Al0.1La0.17Ni0.73,La Ni  Al  ,0.17 0.73 0.1,0.17 0.73 0.1,2.9988,0.3684,P(bar),1000/T,60.46,333,333,-3.3011,-0.9985,0.04,31.43,4.24,1.3751,128.86,209.5,1.7423,7.8198,0.9697,1555.8,3102.94,8.11,7.1248,92.14,143.76,14.697,9.6517,69.1564,448.4,-4.0028,2.2655,1.5874,-4.6912,-0.2264,-4.5898,0,-5.4342,39.4597,34.854,-0.1846,0.304,-0.4577,17.06,6.3292
256,441,111,PCI,LaNi4.4Al0.6,TM+Ln,Al0.1La0.17Ni0.73,La Ni  Al  ,0.17 0.73 0.1,0.17 0.73 0.1,3.1907,0.1755,P(bar),1000/T,40.41,313,313,-4.0428,-1.7402,0.02,31.43,4.24,1.3751,128.86,209.5,1.7423,7.8198,0.9697,1555.8,3102.94,8.11,7.1248,92.14,143.76,14.697,9.6517,69.1564,448.4,-4.0028,2.2655,1.5874,-4.6912,-0.2264,-4.5898,0,-5.4342,39.4597,34.854,-0.1846,0.304,-0.4577,17.06,6.3292
257,431,111,PCI,LaNi4.25Al0.75,TM+Ln,Al0.12La0.17Ni0.71,La Ni  Al  ,0.17 0.71 0.12,0.17 0.71 0.12,2.677,0.7759,P(bar),1000/T,100.56,374,374,-2.5564,-0.2538,0.08,31.13,4.22,1.3787,128.8,209.7,1.7363,7.6956,0.9551,1539.95,3097.64,7.97,7.0918,95.02,141.68,14.567,9.7197,68.5222,457.58,-3.954,2.2839,1.5918,-4.6842,-0.2266,-4.5678,0,-5.3936,43.7501,34.9736,-0.1692,0.3036,-0.4637,16.97,6.6419
258,437,111,PCI,LaNi4.25Al0.75,TM+Ln,Al0.12La0.17Ni0.71,La Ni  Al  ,0.17 0.71 0.12,0.17 0.71 0.12,2.8276,0.2822,P(bar),1000/T,80.66,354,354,-3.5677,-1.2651,0.03,31.13,4.22,1.3787,128.8,209.7,1.7363,7.6956,0.9551,1539.95,3097.64,7.97,7.0918,95.02,141.68,14.567,9.7197,68.5222,457.58,-3.954,2.2839,1.5918,-4.6842,-0.2266,-4.5678,0,-5.3936,43.7501,34.9736,-0.1692,0.3036,-0.4637,16.97,6.6419
259,442,111,PCI,LaNi4.25Al0.75,TM+Ln,Al0.12La0.17Ni0.71,La Ni  Al  ,0.17 0.71 0.12,0.17 0.71 0.12,2.998,0.137,P(bar),1000/T,60.55,334,334,-4.2901,-1.9875,0.01,31.13,4.22,1.3787,128.8,209.7,1.7363,7.6956,0.9551,1539.95,3097.64,7.97,7.0918,95.02,141.68,14.567,9.7197,68.5222,457.58,-3.954,2.2839,1.5918,-4.6842,-0.2266,-4.5678,0,-5.3936,43.7501,34.9736,-0.1692,0.3036,-0.4637,16.97,6.6419
260,444,111,PCI,LaNi4.25Al0.75,TM+Ln,Al0.12La0.17Ni0.71,La Ni  Al  ,0.17 0.71 0.12,0.17 0.71 0.12,3.1944,0.0442,P(bar),1000/T,40.04,313,313,-5.4217,-3.1191,0,31.13,4.22,1.3787,128.8,209.7,1.7363,7.6956,0.9551,1539.95,3097.64,7.97,7.0918,95.02,141.68,14.567,9.7197,68.5222,457.58,-3.954,2.2839,1.5918,-4.6842,-0.2266,-4.5678,0,-5.3936,43.7501,34.9736,-0.1692,0.3036,-0.4637,16.97,6.6419
261,433,111,PCI,LaNi4.2Al0.8,TM+Ln,Al0.13La0.17Ni0.7,La Ni  Al  ,0.17 0.7 0.13,0.17 0.7 0.13,2.6771,0.5794,P(bar),1000/T,100.53,374,374,-2.8483,-0.5457,0.06,30.98,4.21,1.3805,128.77,209.8,1.7333,7.6335,0.9478,1532.025,3094.99,7.9,7.0753,96.46,140.64,14.502,9.7537,68.2051,462.17,-3.9296,2.2931,1.594,-4.6807,-0.2267,-4.5568,0,-5.3733,45.8953,35.0334,-0.1615,0.3033,-0.4667,16.94,6.7857
262,438,111,PCI,LaNi4.2Al0.8,TM+Ln,Al0.13La0.17Ni0.7,La Ni  Al  ,0.17 0.7 0.13,0.17 0.7 0.13,2.8277,0.2323,P(bar),1000/T,80.65,354,354,-3.7623,-1.4597,0.02,30.98,4.21,1.3805,128.77,209.8,1.7333,7.6335,0.9478,1532.025,3094.99,7.9,7.0753,96.46,140.64,14.502,9.7537,68.2051,462.17,-3.9296,2.2931,1.594,-4.6807,-0.2267,-4.5568,0,-5.3733,45.8953,35.0334,-0.1615,0.3033,-0.4667,16.94,6.7857
263,443,111,PCI,LaNi4.2Al0.8,TM+Ln,Al0.13La0.17Ni0.7,La Ni  Al  ,0.17 0.7 0.13,0.17 0.7 0.13,2.9983,0.0899,P(bar),1000/T,60.52,334,334,-4.7117,-2.4091,0.01,30.98,4.21,1.3805,128.77,209.8,1.7333,7.6335,0.9478,1532.025,3094.99,7.9,7.0753,96.46,140.64,14.502,9.7537,68.2051,462.17,-3.9296,2.2931,1.594,-4.6807,-0.2267,-4.5568,0,-5.3733,45.8953,35.0334,-0.1615,0.3033,-0.4667,16.94,6.7857
264,446,111,PCI,LaNi4.2Al0.8,TM+Ln,Al0.13La0.17Ni0.7,La Ni  Al  ,0.17 0.7 0.13,0.17 0.7 0.13,3.1889,0.0353,P(bar),1000/T,40.59,314,314,-5.6479,-3.3453,0,30.98,4.21,1.3805,128.77,209.8,1.7333,7.6335,0.9478,1532.025,3094.99,7.9,7.0753,96.46,140.64,14.502,9.7537,68.2051,462.17,-3.9296,2.2931,1.594,-4.6807,-0.2267,-4.5568,0,-5.3733,45.8953,35.0334,-0.1615,0.3033,-0.4667,16.94,6.7857
265,447,111,PCI,LaNi4.2Al0.8,TM+Ln,Al0.13La0.17Ni0.7,La Ni  Al  ,0.17 0.7 0.13,0.17 0.7 0.13,3.3523,0.0139,P(bar),1000/T,25.3,298,298,-6.58,-4.2774,0,30.98,4.21,1.3805,128.77,209.8,1.7333,7.6335,0.9478,1532.025,3094.99,7.9,7.0753,96.46,140.64,14.502,9.7537,68.2051,462.17,-3.9296,2.2931,1.594,-4.6807,-0.2267,-4.5568,0,-5.3733,45.8953,35.0334,-0.1615,0.3033,-0.4667,16.94,6.7857
266,435,111,PCI,LaNi4Al,TM+Ln,Al0.17La0.17Ni0.67,La Ni  Al  ,0.17 0.67 0.17,0.17 0.67 0.17,2.5401,0.4947,P(bar),1000/T,120.69,394,394,-3.0064,-0.7038,0.05,30.3564,4.1683,1.3863,128.5743,210.099,1.7232,7.4002,0.921,1502.5594,3083.604,7.6436,7.0155,102.1089,136.9109,14.2713,9.857,66.855,480.1782,-3.836,2.3274,1.6014,-4.6675,-0.226,-4.5148,0,-5.2969,54.0598,35.0272,-0.1278,0.3027,-0.4816,16.79,7.2401
267,439,111,PCI,LaNi4Al,TM+Ln,Al0.17La0.17Ni0.67,La Ni  Al  ,0.17 0.67 0.17,0.17 0.67 0.17,2.6749,0.2121,P(bar),1000/T,100.85,374,374,-3.8533,-1.5507,0.02,30.3564,4.1683,1.3863,128.5743,210.099,1.7232,7.4002,0.921,1502.5594,3083.604,7.6436,7.0155,102.1089,136.9109,14.2713,9.857,66.855,480.1782,-3.836,2.3274,1.6014,-4.6675,-0.226,-4.5148,0,-5.2969,54.0598,35.0272,-0.1278,0.3027,-0.4816,16.79,7.2401
268,445,111,PCI,LaNi4Al,TM+Ln,Al0.17La0.17Ni0.67,La Ni  Al  ,0.17 0.67 0.17,0.17 0.67 0.17,2.9988,0.04,P(bar),1000/T,60.47,333,333,-5.5226,-3.22,0,30.3564,4.1683,1.3863,128.5743,210.099,1.7232,7.4002,0.921,1502.5594,3083.604,7.6436,7.0155,102.1089,136.9109,14.2713,9.857,66.855,480.1782,-3.836,2.3274,1.6014,-4.6675,-0.226,-4.5148,0,-5.2969,54.0598,35.0272,-0.1278,0.3027,-0.4816,16.79,7.2401
269,448,111,PCI,LaNi4Al,TM+Ln,Al0.17La0.17Ni0.67,La Ni  Al  ,0.17 0.67 0.17,0.17 0.67 0.17,3.1924,0.0113,P(bar),1000/T,40.24,313,313,-6.7835,-4.4809,0,30.3564,4.1683,1.3863,128.5743,210.099,1.7232,7.4002,0.921,1502.5594,3083.604,7.6436,7.0155,102.1089,136.9109,14.2713,9.857,66.855,480.1782,-3.836,2.3274,1.6014,-4.6675,-0.226,-4.5148,0,-5.2969,54.0598,35.0272,-0.1278,0.3027,-0.4816,16.79,7.2401
228,404,54,PCT,La 28.9%Ni67. 5%Si3.6%,TM+Ln,La0.289Ni0.675Si0.036,La   Ni   Si  ,0.289 0.675 0.036,0.289 0.675 0.036,3.0009,1.2969,Ln(P) (bar),1000/T,60.24,333,333,-1.0057,1.2969,0.37,35.877,4.542,1.4285,134.512,214.81,1.6756,7.8755,0.9689,1569.837,3203.048,7.761,7.063,70.582,133.192,15.2379,11.4135,80.772,382.29,-4.267,2.2444,1.6424,-4.7092,-0.2967,-4.6837,0,-5.5246,24.1347,51.9664,-0.5459,0.3669,-0.5245,20.2,6.1837
229,405,54,PCT,La 28.9%Ni67. 5%Si3.6%,TM+Ln,La0.289Ni0.675Si0.036,La   Ni   Si  ,0.289 0.675 0.036,0.289 0.675 0.036,3.0987,1.1038,Ln(P) (bar),1000/T,49.71,323,323,-1.1988,1.1038,0.3,35.877,4.542,1.4285,134.512,214.81,1.6756,7.8755,0.9689,1569.837,3203.048,7.761,7.063,70.582,133.192,15.2379,11.4135,80.772,382.29,-4.267,2.2444,1.6424,-4.7092,-0.2967,-4.6837,0,-5.5246,24.1347,51.9664,-0.5459,0.3669,-0.5245,20.2,6.1837
230,406,54,PCT,La 28.9%Ni67. 5%Si3.6%,TM+Ln,La0.289Ni0.675Si0.036,La   Ni   Si  ,0.289 0.675 0.036,0.289 0.675 0.036,3.1876,0.8916,Ln(P) (bar),1000/T,40.72,314,314,-1.411,0.8916,0.24,35.877,4.542,1.4285,134.512,214.81,1.6756,7.8755,0.9689,1569.837,3203.048,7.761,7.063,70.582,133.192,15.2379,11.4135,80.772,382.29,-4.267,2.2444,1.6424,-4.7092,-0.2967,-4.6837,0,-5.5246,24.1347,51.9664,-0.5459,0.3669,-0.5245,20.2,6.1837
231,407,54,PCT,La 28.9%Ni67. 5%Si3.6%,TM+Ln,La0.289Ni0.675Si0.036,La   Ni   Si  ,0.289 0.675 0.036,0.289 0.675 0.036,3.2966,0.7038,Ln(P) (bar),1000/T,30.35,303,303,-1.5988,0.7038,0.2,35.877,4.542,1.4285,134.512,214.81,1.6756,7.8755,0.9689,1569.837,3203.048,7.761,7.063,70.582,133.192,15.2379,11.4135,80.772,382.29,-4.267,2.2444,1.6424,-4.7092,-0.2967,-4.6837,0,-5.5246,24.1347,51.9664,-0.5459,0.3669,-0.5245,20.2,6.1837
49,85,59,PCI,La 0.8 Ce 0.2 Ni 5,TM+Ln,Ce0.03La0.13Ni0.83,La    Ce    Ni  ,0.13 0.03 0.83,0.13 0.03 0.83,2.8308,4.0947,Ln(P) (bar),1000/T,80.25,353,353,1.7921,4.0947,6,32.7172,4.3232,1.3503,123.6364,208.0202,1.7797,8.4803,1.0494,1635.899,3122.6364,8.8687,7.3059,78.3333,155.2525,15.4141,9.1275,71.6915,404.5051,-4.2901,2.1656,1.5602,-4.7462,-0.2166,-4.7067,0,-5.6742,17.6266,29.3024,-0.1587,0.2953,-0.4161,16.85,4.3658
50,86,59,PCI,La 0.8 Ce 0.2 Ni 5,TM+Ln,Ce0.03La0.13Ni0.83,La    Ce    Ni  ,0.13 0.03 0.83,0.13 0.03 0.83,3.0025,3.6715,Ln(P) (bar),1000/T,60.06,333,333,1.3689,3.6715,3.93,32.7172,4.3232,1.3503,123.6364,208.0202,1.7797,8.4803,1.0494,1635.899,3122.6364,8.8687,7.3059,78.3333,155.2525,15.4141,9.1275,71.6915,404.5051,-4.2901,2.1656,1.5602,-4.7462,-0.2166,-4.7067,0,-5.6742,17.6266,29.3024,-0.1587,0.2953,-0.4161,16.85,4.3658
51,87,59,PCI,La 0.8 Ce 0.2 Ni 5,TM+Ln,Ce0.03La0.13Ni0.83,La    Ce    Ni  ,0.13 0.03 0.83,0.13 0.03 0.83,3.1933,3.0453,Ln(P) (bar),1000/T,40.15,313,313,0.7427,3.0453,2.1,32.7172,4.3232,1.3503,123.6364,208.0202,1.7797,8.4803,1.0494,1635.899,3122.6364,8.8687,7.3059,78.3333,155.2525,15.4141,9.1275,71.6915,404.5051,-4.2901,2.1656,1.5602,-4.7462,-0.2166,-4.7067,0,-5.6742,17.6266,29.3024,-0.1587,0.2953,-0.4161,16.85,4.3658
52,88,59,PCI,La 0.8 Ce 0.2 Ni 5,TM+Ln,Ce0.03La0.13Ni0.83,La    Ce    Ni  ,0.13 0.03 0.83,0.13 0.03 0.83,3.4117,2.2976,Ln(P) (bar),1000/T,20.11,293,293,-0.0049,2.2977,1,32.7172,4.3232,1.3503,123.6364,208.0202,1.7797,8.4803,1.0494,1635.899,3122.6364,8.8687,7.3059,78.3333,155.2525,15.4141,9.1275,71.6915,404.5051,-4.2901,2.1656,1.5602,-4.7462,-0.2166,-4.7067,0,-5.6742,17.6266,29.3024,-0.1587,0.2953,-0.4161,16.85,4.3658
53,89,59,PCI,La 0.9 Ce 0.1 Ni 5,TM+Ln,Ce0.02La0.15Ni0.83,La    Ce    Ni  ,0.15 0.02 0.83,0.15 0.02 0.83,2.8325,3.7065,Ln(P) (bar),1000/T,80.05,353,353,1.4039,3.7065,4.07,32.95,4.34,1.3561,125.78,208.46,1.7727,8.4516,1.0433,1632.65,3129,8.81,7.289,77.7,154.04,15.331,9.2787,72.3516,402.44,-4.2756,2.1713,1.5654,-4.7386,-0.223,-4.704,0,-5.657,17.9377,31.7602,-0.2074,0.3033,-0.4273,17.29,4.3024
54,90,59,PCI,La 0.9 Ce 0.1 Ni 5,TM+Ln,Ce0.02La0.15Ni0.83,La    Ce    Ni  ,0.15 0.02 0.83,0.15 0.02 0.83,3.0025,3.1416,Ln(P) (bar),1000/T,60.06,333,333,0.839,3.1416,2.31,32.95,4.34,1.3561,125.78,208.46,1.7727,8.4516,1.0433,1632.65,3129,8.81,7.289,77.7,154.04,15.331,9.2787,72.3516,402.44,-4.2756,2.1713,1.5654,-4.7386,-0.223,-4.704,0,-5.657,17.9377,31.7602,-0.2074,0.3033,-0.4273,17.29,4.3024
55,91,59,PCI,La 0.9 Ce 0.1 Ni 5,TM+Ln,Ce0.02La0.15Ni0.83,La    Ce    Ni  ,0.15 0.02 0.83,0.15 0.02 0.83,3.1933,2.5005,Ln(P) (bar),1000/T,40.15,313,313,0.1979,2.5005,1.22,32.95,4.34,1.3561,125.78,208.46,1.7727,8.4516,1.0433,1632.65,3129,8.81,7.289,77.7,154.04,15.331,9.2787,72.3516,402.44,-4.2756,2.1713,1.5654,-4.7386,-0.223,-4.704,0,-5.657,17.9377,31.7602,-0.2074,0.3033,-0.4273,17.29,4.3024
56,92,59,PCI,La 0.9 Ce 0.1 Ni 5,TM+Ln,Ce0.02La0.15Ni0.83,La    Ce    Ni  ,0.15 0.02 0.83,0.15 0.02 0.83,3.4125,1.82,Ln(P) (bar),1000/T,20.04,293,293,-0.4826,1.82,0.62,32.95,4.34,1.3561,125.78,208.46,1.7727,8.4516,1.0433,1632.65,3129,8.81,7.289,77.7,154.04,15.331,9.2787,72.3516,402.44,-4.2756,2.1713,1.5654,-4.7386,-0.223,-4.704,0,-5.657,17.9377,31.7602,-0.2074,0.3033,-0.4273,17.29,4.3024
122,255,33,PCT,La0.5Ce0.5Ni4Co,TM+Ln,Ce0.08Co0.17La0.08Ni0.67,La  Ce  Ni Co,0.08 0.08 0.67 0.17,0.08 0.08 0.67 0.17,2.8261,59.2563,P(bar),1000/T,80.85,354,354,1.7793,4.0819,5.93,32.55,4.32,1.3468,116.01,207.84,1.7769,8.5099,0.967,1637.94,3143.82,8.71,7.348,79.89,155.2,15.222,9.0247,71.6628,400.68,-4.7849,2.1388,1.566,-4.9251,-0.1943,-5.0028,0,-5.9509,22.8362,24.7091,0.0412,0.2914,-0.4231,16.49,8.0956
123,256,33,PCT,La0.5Ce0.5Ni4Co,TM+Ln,Ce0.08Co0.17La0.08Ni0.67,La  Ce  Ni Co,0.08 0.08 0.67 0.17,0.08 0.08 0.67 0.17,3.1886,18.9284,P(bar),1000/T,40.62,314,314,0.6381,2.9407,1.89,32.55,4.32,1.3468,116.01,207.84,1.7769,8.5099,0.967,1637.94,3143.82,8.71,7.348,79.89,155.2,15.222,9.0247,71.6628,400.68,-4.7849,2.1388,1.566,-4.9251,-0.1943,-5.0028,0,-5.9509,22.8362,24.7091,0.0412,0.2914,-0.4231,16.49,8.0956
124,257,33,PCT,La0.5Ce0.5Ni4Co,TM+Ln,Ce0.08Co0.17La0.08Ni0.67,La  Ce  Ni Co,0.08 0.08 0.67 0.17,0.08 0.08 0.67 0.17,3.6571,3.7249,P(bar),1000/T,0.44,273,273,-0.9876,1.315,0.37,32.55,4.32,1.3468,116.01,207.84,1.7769,8.5099,0.967,1637.94,3143.82,8.71,7.348,79.89,155.2,15.222,9.0247,71.6628,400.68,-4.7849,2.1388,1.566,-4.9251,-0.1943,-5.0028,0,-5.9509,22.8362,24.7091,0.0412,0.2914,-0.4231,16.49,8.0956
190,355,189,PCT,La 0.23 Ni 0.34 Co 0.33 Nd 0.08 Ti 0.01 Al 0.01,TM+Ln,Al0.01Co0.33La0.23Nd0.08Ni0.34Ti0.01,La     Ni     Co     Nd     Ti     Al    ,0.23 0.34 0.33 0.08 0.01 0.01,0.23 0.34 0.33 0.08 0.01 0.01,2.9495,0.9768,Ln(P) (psi),1000/T,66.04,339,339,-1.3258,0.9768,0.27,36.69,4.61,1.43,124.13,215.35,1.6455,8.0138,0.7654,1576.415,3249.16,7.37,7.052,70.86,131.46,13.505,11.4757,83.6385,364.52,-5.576,2.2249,1.6685,-5.2626,-0.2859,-5.2438,0,-5.9457,35.6563,57.0148,-0.4871,0.3618,-0.5545,18.73,11.348
191,356,189,PCT,La 0.23 Ni 0.34 Co 0.33 Nd 0.08 Ti 0.01 Al 0.01,TM+Ln,Al0.01Co0.33La0.23Nd0.08Ni0.34Ti0.01,La     Ni     Co     Nd     Ti     Al    ,0.23 0.34 0.33 0.08 0.01 0.01,0.23 0.34 0.33 0.08 0.01 0.01,3.0444,0.6925,Ln(P) (psi),1000/T,55.47,328,328,-1.6101,0.6925,0.2,36.69,4.61,1.43,124.13,215.35,1.6455,8.0138,0.7654,1576.415,3249.16,7.37,7.052,70.86,131.46,13.505,11.4757,83.6385,364.52,-5.576,2.2249,1.6685,-5.2626,-0.2859,-5.2438,0,-5.9457,35.6563,57.0148,-0.4871,0.3618,-0.5545,18.73,11.348
192,357,189,PCT,La 0.23 Ni 0.34 Co 0.33 Nd 0.08 Ti 0.01 Al 0.01,TM+Ln,Al0.01Co0.33La0.23Nd0.08Ni0.34Ti0.01,La     Ni     Co     Nd     Ti     Al    ,0.23 0.34 0.33 0.08 0.01 0.01,0.23 0.34 0.33 0.08 0.01 0.01,3.1439,0.2925,Ln(P) (psi),1000/T,45.07,318,318,-2.0101,0.2925,0.13,36.69,4.61,1.43,124.13,215.35,1.6455,8.0138,0.7654,1576.415,3249.16,7.37,7.052,70.86,131.46,13.505,11.4757,83.6385,364.52,-5.576,2.2249,1.6685,-5.2626,-0.2859,-5.2438,0,-5.9457,35.6563,57.0148,-0.4871,0.3618,-0.5545,18.73,11.348
193,358,189,PCT,La 0.23 Ni 0.34 Co 0.33 Nd 0.08 Ti 0.01 Al 0.01,TM+Ln,Al0.01Co0.33La0.23Nd0.08Ni0.34Ti0.01,La     Ni     Co     Nd     Ti     Al    ,0.23 0.34 0.33 0.08 0.01 0.01,0.23 0.34 0.33 0.08 0.01 0.01,3.2497,0.0123,Ln(P) (psi),1000/T,34.72,308,308,-2.2903,0.0123,0.1,36.69,4.61,1.43,124.13,215.35,1.6455,8.0138,0.7654,1576.415,3249.16,7.37,7.052,70.86,131.46,13.505,11.4757,83.6385,364.52,-5.576,2.2249,1.6685,-5.2626,-0.2859,-5.2438,0,-5.9457,35.6563,57.0148,-0.4871,0.3618,-0.5545,18.73,11.348
110,243,32,PCT,Ti1 Mn1.2V0.8,TM,Mn0.4Ti0.33V0.27,Ti  Mn  V  ,0.33 0.4 0.27,0.33 0.4 0.27,2.8308,3.1892,Ln(P) P in atm,1/T,353.26,353,353,0.8866,3.1892,2.43,23.47,4,1.3782,134.23,208.3,1.5683,6.126,0.1695,1829.76,3054.3,5.47,7.0484,18.75,127.5,17.607,8.6964,51.5269,495.23,-9.8479,2.1219,2.0526,-8.1154,-0.1789,-5.9804,0,-8.7193,43.1403,166.0754,-4.3876,0.0374,-0.6317,4.24,9.0287
111,244,32,PCT,Ti1 Mn1.2V0.8,TM,Mn0.4Ti0.33V0.27,Ti  Mn  V  ,0.33 0.4 0.27,0.33 0.4 0.27,3.0031,2.6179,Ln(P) P in atm,1/T,332.99,333,333,0.3153,2.6179,1.37,23.47,4,1.3782,134.23,208.3,1.5683,6.126,0.1695,1829.76,3054.3,5.47,7.0484,18.75,127.5,17.607,8.6964,51.5269,495.23,-9.8479,2.1219,2.0526,-8.1154,-0.1789,-5.9804,0,-8.7193,43.1403,166.0754,-4.3876,0.0374,-0.6317,4.24,9.0287
112,245,32,PCT,Ti1 Mn1.2V0.8,TM,Mn0.4Ti0.33V0.27,Ti  Mn  V  ,0.33 0.4 0.27,0.33 0.4 0.27,3.3015,1.593,Ln(P) P in atm,1/T,302.89,303,303,-0.7096,1.593,0.49,23.47,4,1.3782,134.23,208.3,1.5683,6.126,0.1695,1829.76,3054.3,5.47,7.0484,18.75,127.5,17.607,8.6964,51.5269,495.23,-9.8479,2.1219,2.0526,-8.1154,-0.1789,-5.9804,0,-8.7193,43.1403,166.0754,-4.3876,0.0374,-0.6317,4.24,9.0287
113,246,32,PCT,Ti1 Mn1.2V0.8,TM,Mn0.4Ti0.33V0.27,Ti  Mn  V  ,0.33 0.4 0.27,0.33 0.4 0.27,3.6615,0.4275,Ln(P) P in atm,1/T,273.11,273,273,-1.875,0.4275,0.15,23.47,4,1.3782,134.23,208.3,1.5683,6.126,0.1695,1829.76,3054.3,5.47,7.0484,18.75,127.5,17.607,8.6964,51.5269,495.23,-9.8479,2.1219,2.0526,-8.1154,-0.1789,-5.9804,0,-8.7193,43.1403,166.0754,-4.3876,0.0374,-0.6317,4.24,9.0287
114,247,32,PCT,Ti V Mn,TM,Mn0.33Ti0.33V0.33,Ti V Mn,0.33 0.33 0.33,0.33 0.33 0.33,2.8338,2.7204,Ln(P) P in atm,1/T,352.88,353,353,0.4178,2.7204,1.52,23.3333,4,1.3767,133.3333,208.3333,1.5733,6.03,0.2033,1872,3148.3333,5.3333,7.0033,20.2667,130,18.2333,8.77,51.25,496,-9.79,2.0633,1.9933,-7.8467,-0.21,-5.9467,0,-8.71,42.58,141.8533,-3.5933,0.04,-0.6204,4.36,9.1258
115,248,32,PCT,Ti V Mn,TM,Mn0.33Ti0.33V0.33,Ti V Mn,0.33 0.33 0.33,0.33 0.33 0.33,3.0062,2.0997,Ln(P) P in atm,1/T,332.65,333,333,-0.2029,2.0997,0.82,23.3333,4,1.3767,133.3333,208.3333,1.5733,6.03,0.2033,1872,3148.3333,5.3333,7.0033,20.2667,130,18.2333,8.77,51.25,496,-9.79,2.0633,1.9933,-7.8467,-0.21,-5.9467,0,-8.71,42.58,141.8533,-3.5933,0.04,-0.6204,4.36,9.1258
116,249,32,PCT,Ti V Mn,TM,Mn0.33Ti0.33V0.33,Ti V Mn,0.33 0.33 0.33,0.33 0.33 0.33,3.3015,0.951,Ln(P) P in atm,1/T,302.89,303,303,-1.3516,0.951,0.26,23.3333,4,1.3767,133.3333,208.3333,1.5733,6.03,0.2033,1872,3148.3333,5.3333,7.0033,20.2667,130,18.2333,8.77,51.25,496,-9.79,2.0633,1.9933,-7.8467,-0.21,-5.9467,0,-8.71,42.58,141.8533,-3.5933,0.04,-0.6204,4.36,9.1258
